Parameters,3958,884,1641,0.132134,0.080836,253,296,183,Fitnesses,42,1,3667.290039

Parameters,608,903,1154,0.188729,0.195360,212,128,131,Fitnesses,22,0,224.544998

Parameters,4812,4732,4765,0.037418,0.026671,371,228,135,Fitnesses,30,1,1428.881958

Parameters,4562,313,1009,0.049514,0.017255,47,346,304,Fitnesses,175,1,8759.442383

Parameters,2606,3458,4759,0.192000,0.049685,457,393,192,Fitnesses,29,0,1787.504028

Parameters,3863,1816,3265,0.004899,0.180310,108,183,468,Fitnesses,19,1,779.781006

Parameters,4946,304,833,0.204949,0.080263,147,163,375,Fitnesses,59,1,7921.750977

Parameters,3148,1727,257,0.104785,0.062850,142,18,94,Fitnesses,41,1,170.537994

Parameters,999,3213,3480,0.023531,0.238292,293,225,80,Fitnesses,11,0,404.109985

Parameters,3815,3047,2097,0.249940,0.143804,149,465,339,Fitnesses,18,1,2692.027100

